Category,Headline,Content
politics,Flight announcement naming PM Modi poll code violation: Jairam,"Congress leader Jairam Ramesh objected to flight announcement by IndiGo mentioning the name of PM Narendra Modi just ahead of a vote appeal advertisement, saying it is a Model Code of Conduct violation. Responding to him, Civil Aviation Minister Jyotiraditya Scindia said that there is an ""ongoing awareness collaboration"" between his ministry and the poll panel to encourage voter participation."
politics,Kingpin of liquor scam ran away fearing ED: Patra on Delhi CM,"BJP spokesman Sambit Patra called CM Arvind Kejriwal the ""kingpin"" of Delhi liquor policy scam. As Kejriwal skipped Enforcement Directorate's summons, Patra said, ""He doesn't want to face the truth. Running away from probe means he has accepted his mistake."" ""He used to call himself 'kattar imaandaar' (honest)...Now it has been established that he is 'kattar besharam' (shameless),"" Patra added."
politics,"Join it if you're right, Rahul did: Dutt as Kejriwal skips summons","Congress leader Abhishek Dutt has reacted to Delhi CM Arvind Kejriwal not appearing for questioning by the ED, saying, ""If the ED has summoned you and you know you are right, then join the investigation."" He added that Congress leaders Rahul and Sonia Gandhi had also joined investigations in the past. ""Have the courage to fight BJP,"" he added."
politics,"No, Modi Did Not Call Hindutva A ‘Playing Card’ For BJP","A video of PM Modi calling Hindutva a mere playing card used by BJP during elections is circulating online. The original video is from a 1998 interview where Modi said that Hindutva was ""not"" a playing card for the BJP. The word ""not"" was edited out of the video to make the false claim."
politics,Congress more interested in 5 state polls than INDIA bloc: Nitish,"Bihar CM Nitish Kumar has said that the Congress is ""more interested"" in the Assembly elections taking place in five states than the INDIA bloc. ""We were all working together to take forward the Congress party but they are not worried about all this right now...[the party] will call everyone themselves after the polls are over,"" he added."
politics,Clip shows Maratha quota protesters blackening Maha CM's poster,"People protesting for Martha reservation blackened the posters of Maharashtra CM Eknath Shinde and Deputy CM Devendra Fadnavis in Thane. A video showing a protester using a spray paint to blacken Fadnavis' poster has surfaced online. Earlier, a resolution was passed by political parties in the state which requested Maratha quota activist Manoj Jarange Patil to withdraw his fast-unto-death."
politics,Even in British era permission was taken to search houses: AAP MLA,"Delhi Minister Saurabh Bharadwaj criticised the central government after ED raids were conducted on premises of Delhi Minister Raaj Kumar Anand on Thursday. ""Even during the British era, if you had to search someone's house, you needed a search warrant from the court,"" Bharadwaj said. Even the British believed that such actions would create an atmosphere of terror, he added."
politics,"Kaleshwaram project = KCR family ATM, cracks in pillars: Rahul","Congress leader Rahul Gandhi on Thursday shared pictures from Telangana's Medigadda barrage, which is part of the Kaleshwaram Lift Irrigation Project, and alleged that cracks have developed in multiple pillars due to ""shoddy"" construction. ""Kaleshwaram project = KCR family ATM,"" he said. He also claimed that reports suggested that the pillars are sinking. This comes ahead of state Assembly polls."
politics,Media says Moitra's MP portal accessed from Dubai 47 times: BJP MP,"BJP MP Nishikant Dubey noted that media is reporting that businessman Darshan Hiranandani accessed TMC MP Mahua Moitra's email ID and MP portal 47 times from Dubai to ask questions in the Lok Sabha. ""If this...is true...all MPs should stand against Moitra,"" he added. ""Hiranandani asked questions...for Hiranandani,"" Dubey said, questioning, ""Are we MPs for the selfish interests of capitalists?"""
politics,Will explain everything when time comes: Dehadrai on Moitra's case,"Lawyer Jai Anant Dehadrai, who levelled bribery allegations against TMC's Mahua Moitra and was called ""jilted lover"" by her, said that he will explain the whole matter when the right time comes. ""If somebody is trying to alter the narrative by trying to play victim, the whole country is watching,"" Dehadrai said, adding that he is not afraid of anyone."
business,"People in queue to exchange ₹2,000 notes questioned in Odisha","The Economic Offence Wing (EOW) of Odisha Police questioned people standing in queue to exchange ₹2,000 currency notes at the Reserve Bank of India counter in Bhubaneswar on Wednesday. Earlier, reports claimed people were exchanging notes for others for wages. ""We verified the Aadhaar cards of the people standing in the queue,"" an EOW official said. "
business,3 Partners Bid Farewell To Premji Invest In 2023,"Azim Premji’s Bengaluru-based investment arm Premji Invest has witnessed the departure of 3 of its 4 seasoned partners this year. Rajesh Ramaiah is the latest to resign, and Rahul Garg and Atul Gupta were two other partners who left earlier. All three partners will continue to engage with the firm as advisors. "
business,You can't run sweatshops: Karnataka IT Minister Kharge on 70-hour work week,"Karnataka IT Minister Priyank Kharge has reacted to Infosys Founder Narayana Murthy's 70-hour work week advice by saying, ""We cannot force somebody to do this (put in 70 hours). You cannot run sweatshops."" He told TOI, ""It's different strokes for different folks. As a minister, I would concentrate on productivity. If you're being productive in seven hours, I don't mind."""
business,Big Bazaar got caught between Reliance and Amazon: Biyani,"Big Bazaar got caught between two leaders of the world, said Future Group Founder and CEO Kishore Biyani while talking about the Reliance-Amazon dispute. ""We sold [Big Bazaar] to Reliance...Amazon, because of their investment in us, they thought we weren't doing right. That went into a legal dispute,"" Biyani said. ""They didn't allow the whole deal to consummate,"" he added."
business,Apple May Produce iPhone17 In India From 2024,"According to analyst Ming-Chi Kuo, India might be the 1st country in the world to commence its manufacturing, ahead of all others. Foxconn, Pegatron, and now the Tata Group, are expected to begin with the production of the product. “If all goes well, the proportion of iPhones made in India will increase to 20–25% by 2024,” Kuo added."
business,"List shows global cities where luxury homes became costlier, Mumbai ranks 4th","Three Indian cities have made it to Knight Frank's 'Prime Global Cities Index Q3 2023' that tracks the movement of prime residential prices across 46 global cities. While Mumbai and Delhi have ranked at the 4th and 10th positions, Bengaluru took the 17th position. Manila ranked on top, with Dubai, Shanghai and Madrid on the second, third and fifth spots."
business,Adani Power Q2 Net Profit Rises Over Ninefold,"Adani Power Ltd.'s net profit rose to Rs 6,594 crore in the quarter ended September compared with Rs 696 crore a year ago, according to an exchange filing on November 2. The company has recognised deferred tax assets of Rs 1,371 crore as one time gain compared to Rs 696 crore a year earlier."
business,"Big Bazaar lost ₹7,000 crore in 3 months due to COVID-19: Biyani","Future Group Founder and CEO Kishore Biyani, while speaking with House of X Founder Raj Shamani on his podcast, said retail chain Big Bazaar lost ₹7,000 crore in three months due to the COVID-19 pandemic. ""In the journey of being the leader, we stretched our balancesheet,"" Biyani said. ""We weren't able to handle the COVID-19 event,"" he added."
business,"Mamaearth's ₹1,701 crore IPO fully-subscribed on day three","Personal care brand Mamaearth's parent Honasa Consumer's ₹1,701 crore IPO was fully subscribed on day three on Thursday, the final day of bidding. It received bids for 3.58 crore shares against the issue size of 2.89 crore shares. Retail investors bought 0.76 times, HNIs bought 0.31 times and qualified institutional buyers (QIBs) picked 1.86 times of the allotted quota."
